Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region
CF Industries Holdings Inc.,CF,Basic Materials,Specialty Chemicals,YES,NO,United States,United States
Culp Inc.,CFI,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States
CareFusion Corp.,CFN,Health Care,Medical Equipment,YES,NO,United States,United States
Cullen-Frost Bankers Inc.,CFR,Financials,Banks,NO,NO,United States,United States
Colfax Corp.,CFX,Industrials,Diversified Industrials,NO,NO,United States,United States
China Green Agriculture Inc.,CGA,Basic Materials,Chemicals,NO,NO,China,Asia-Pacific
Celadon Group Inc.,CGI,Industrials,Trucking,NO,NO,United States,United States
CGG Veritas,CGV,Oil and Gas,Oil Equipment and Services,NO,NO,France,Europe
Consolidated Graphics Inc.,CGX,Industrials,Business Support Services,NO,NO,United States,United States
China Telecom Corp. Ltd.,CHA,Telecommunications,Fixed Line Telecommunications,NO,NO,China,Asia-Pacific
China Hydroelectric Corporation,CHC,Financials,Diversified Investments,NO,NO,China,Asia-Pacific
Church & Dwight Co.,CHD,Consumer Goods,Nondurable Household Products,NO,NO,United States,United States
Chemed Corp.,CHE,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States
CH Energy Group Inc. (Holding Co.),CHG,Utilities,Conventional Electricity,NO,NO,United States,United States
Choice Hotels International Inc.,CHH,Consumer Services,Hotels,NO,NO,United States,United States
Chesapeake Energy Corp.,CHK,Oil and Gas,Exploration and Production,YES,NO,United States,United States
China Mobile Ltd.,CHL,Telecommunications,Mobile Telecommunications,NO,NO,China,Asia-Pacific
Chemtura Corp.,CHMT,Basic Materials,undefined,NO,NO,United States,United States
Chico's Fas Inc.,CHS,Consumer Services,Apparel Retailers,NO,NO,United States,United States
Chesapeake Lodging Trust,CHSP,Financials,Real Estate,NO,NO,United States,United States
Chunghwa Telecom Co. Ltd.,CHT,Telecommunications,undefined,NO,NO,Taiwan,Asia-Pacific
China Unicom (Hong Kong) Ltd.,CHU,Telecommunications,Mobile Telecommunications,NO,NO,China,Asia-Pacific
CIGNA Corp.,CI,Health Care,Health Care Providers,YES,NO,United States,United States
Citizens Inc. Cl A,CIA,Financials,Life Insurance,NO,NO,United States,United States
Cobalt International Energy Inc.,CIE,Oil and Gas,Oil and Gas,NO,NO,United States,United States
Companhia Energetica de Minas Gerais-Cemig,CIG-C,Utilities,undefined,NO,NO,Brazil,Latin America
Chimera Investment Corp.,CIM,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Circor International Inc.,CIR,Industrials,undefined,NO,NO,United States,United States
Camelot Information Systems Inc.,CIS,Technology,undefined,NO,NO,China,Asia-Pacific
CIT Group Inc.,CIT,Financials,Credit Services,NO,NO,United States,United States
C&J Energy Services Inc.,CJES,Oil and Gas,undefined,NO,NO,United States,United States
SEACOR Holding Inc.,CKH,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Checkpoint Systems Inc.,CKP,Industrials,Electronic Equipment,NO,NO,United States,United States
Colgate-Palmolive Co.,CL,Consumer Goods,Personal Products,YES,NO,United States,United States
Core Laboratories N.V.,CLB,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Clarcor Inc.,CLC,Industrials,Industrial Machinery,NO,NO,United States,United States
Cloud Peak Energy Inc.,CLD,Basic Materials,Coal,NO,NO,United States,United States
Chatham Lodging Trust,CLDT,Financials,undefined,NO,NO,United States,United States
Cliffs Natural Resources Inc.,CLF,Basic Materials,Iron and Steel,NO,NO,United States,United States
CoreLogic Inc.,CLGX,Industrials,undefined,NO,NO,United States,United States
Clean Harbors Inc.,CLH,Industrials,Waste and Disposal Services,NO,NO,United States,United States
Mack-Cali Realty Corp.,CLI,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
Colony Financial Inc.,CLNY,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Colonial Properties Trust,CLP,Financials,Diversified Real Estate Investment Trusts,NO,NO,United States,United States
Continental Resources Inc.,CLR,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Celestica Inc.,CLS,Industrials,Electrical Components and Equipment,NO,NO,Canada,Canada
Clearwater Paper Corp.,CLW,Basic Materials,Paper,NO,NO,United States,United States
Clorox Co.,CLX,Consumer Goods,Nondurable Household Products,YES,NO,United States,United States
Canadian Imperial Bank of Commerce,CM,Financials,Banks,NO,NO,Canada,Canada
Comerica Inc.,CMA,Financials,Banks,YES,NO,United States,United States
Commercial Metals Co.,CMC,Basic Materials,Iron and Steel,NO,NO,United States,United States
Chipotle Mexican Grill Inc. Cl A,CMG,Consumer Services,Restaurants and Bars,NO,NO,United States,United States
Cummins Inc.,CMI,Industrials,Commerical Vehicles and Trucks,YES,NO,United States,United States
China Mass Media Corp.,CMM,Consumer Services,Media Agencies,NO,NO,China,Asia-Pacific
Cantel Medical Corp.,CMN,Health Care,Medical Equipment,NO,NO,United States,United States
Capstead Mortgage Corp.,CMO,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Compass Minerals International Inc.,CMP,Basic Materials,General Mining,NO,NO,United States,United States
Costamare Inc.,CMRE,Industrials,undefined,NO,NO,United States,United States
CMS Energy Corp.,CMS,Utilities,Conventional Electricity,YES,NO,United States,United States
CNA Financial Corp.,CNA,Financials,Full Line Insurance,NO,NO,United States,United States
Centene Corp.,CNC,Health Care,Health Care Providers,NO,NO,United States,United States
CNH Global N.V.,CNH,Industrials,Commerical Vehicles and Trucks,NO,NO,Netherlands,Europe
Canadian National Railway Co.,CNI,Industrials,Railroads,NO,NO,Canada,Canada
Cinemark Holdings Inc.,CNK,Consumer Services,Recreational Services,NO,NO,United States,United States
Cleco Corp.,CNL,Utilities,Conventional Electricity,NO,NO,United States,United States
Conseco Inc.,CNO,Financials,Life Insurance,NO,NO,United States,United States
CenterPoint Energy Inc.,CNP,Utilities,Multiutilities,YES,NO,United States,United States
Canadian Natural Resources Ltd.,CNQ,Oil and Gas,Exploration and Production,NO,NO,Canada,Canada
Cohen & Steers Inc.,CNS,Financials,Asset Managers,NO,NO,United States,United States
Con-way Inc.,CNW,Industrials,Trucking,NO,NO,United States,United States
Consol Energy Inc.,CNX,Basic Materials,Coal,YES,NO,United States,United States
China Cord Blood Corp.,CO,Health Care,Health Care Providers,NO,NO,United States,United States
Spansion Inc. Cl A,CODE,Technology,undefined,NO,NO,United States,United States
Capital One Financial Corp.,COF,Financials,Consumer Finance,YES,NO,United States,United States
Cabot Oil & Gas Corp.,COG,Oil and Gas,Exploration and Production,YES,NO,United States,United States
Coach Inc.,COH,Consumer Goods,Clothing and Accessories,YES,NO,United States,United States
Rockwell Collins Inc.,COL,Industrials,Aerospace,YES,NO,United States,United States
Cooper Cos.,COO,Health Care,Medical Supplies,NO,NO,United States,United States
ConocoPhillips,COP,Oil and Gas,Integrated Oil and Gas,YES,NO,United States,United States
CoreSite Realty Corp.,COR,Financials,undefined,NO,NO,United States,United States
Cott Corp.,COT,Consumer Goods,Soft Drinks,NO,NO,Canada,Canada
Covidien PLC,COV,Health Care,Medical Equipment,NO,NO,United States,United States
Canadian Pacific Railway Ltd.,CP,Industrials,Railroads,NO,NO,Canada,Canada
Copa Holdings S.A. Cl A,CPA,Consumer Services,Airlines,NO,NO,Panama,Latin America
Campbell Soup Co.,CPB,Consumer Goods,Food Products,YES,NO,United States,United States
Callon Petroleum Co.,CPE,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Central Pacific Financial Corp.,CPF,Financials,Banks,NO,NO,United States,United States
Chesapeake Utilities Corp.,CPK,Utilities,Gas Distribution,NO,NO,United States,United States
CPFL Energia S.A.,CPL,Utilities,Conventional Electricity,NO,NO,Brazil,Latin America
Calpine Corp.,CPN,Utilities,Conventional Electricity,NO,NO,United States,United States
Corn Products International Inc.,CPO,Consumer Goods,Food Products,NO,NO,United States,United States
Camden Property Trust,CPT,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States
Complete Production Services Inc.,CPX,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
CPI Corp.,CPY,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States
Chiquita Brands International Inc.,CQB,Consumer Goods,Food Products,NO,NO,United States,United States
Crane Co.,CR,Industrials,Industrial Machinery,NO,NO,United States,United States
Crawford & Co. Cl A,CRD-A,Industrials,Business Support Services,NO,NO,United States,United States
Crawford & Co. Cl B,CRD-B,Industrials,Business Support Services,NO,NO,United States,United States
CRH PLC,CRH,Industrials,Building Materials and Fixtures,NO,NO,Ireland,Europe
Carters Inc.,CRI,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States
Comstock Resources Inc.,CRK,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Charles River Laboratories International Inc.,CRL,Health Care,Biotechnology,NO,NO,United States,United States
Salesforce.com Inc.,CRM,Technology,Software,YES,NO,United States,United States
Carbo Ceramics Inc.,CRR,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Carpenter Technology Corp.,CRS,Basic Materials,Iron and Steel,NO,NO,United States,United States
CryoLife Inc.,CRY,Health Care,Medical Equipment,NO,NO,United States,United States
Credit Suisse Group,CS,Financials,Banks,NO,NO,Switzerland,Europe
Cogdell Spencer Inc.,CSA,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States
Computer Sciences Corp.,CSC,Technology,Computer Services,YES,NO,United States,United States
CapitalSource Inc.,CSE,Financials,Banks,NO,NO,United States,United States
Cash Store Financial Services Inc.,CSFS,Financials,undefined,NO,NO,Canada,Canada
Cash America International Inc.,CSH,Financials,Consumer Finance,NO,NO,United States,United States
Carlisle Cos.,CSL,Industrials,Diversified Industrials,NO,NO,United States,United States
CSS Industries Inc.,CSS,Consumer Services,Publishing,NO,NO,United States,United States
Capital Senior Living Corp.,CSU,Health Care,Health Care Providers,NO,NO,United States,United States
Carriage Services Inc.,CSV,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States
CSX Corp.,CSX,Industrials,Railroads,YES,NO,United States,United States
Capital Trust Inc. Cl A,CT,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Cooper Tire & Rubber Co.,CTB,Consumer Goods,Tires,NO,NO,United States,United States
IFM Investments Ltd.,CTC,Financials,Real Estate,NO,NO,China,Asia-Pacific
CenturyTel Inc.,CTL,Telecommunications,Fixed Line Telecommunications,YES,NO,United States,United States
CTS Corp.,CTS,Industrials,Electrical Components and Equipment,NO,NO,United States,United States
Cubic Corp.,CUB,Industrials,Defense,NO,NO,United States,United States
CubeSmart,CUBE,Financials,undefined,NO,NO,United States,United States
Carnival PLC,CUK,Consumer Services,undefined,NO,NO,United Kingdom,United Kingdom
Cousins Properties Inc.,CUZ,Financials,Diversified Real Estate Investment Trusts,NO,NO,United States,United States
Central Vermont Public Service Corp.,CV,Utilities,Conventional Electricity,NO,NO,United States,United States
Covanta Holding Corp.,CVA,Utilities,Alternative Electricity,NO,NO,United States,United States
Cablevision Systems Corp.,CVC,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States
Covance Inc.,CVD,Health Care,Health Care Providers,NO,NO,United States,United States
Cenovus Energy Inc.,CVE,Oil and Gas,Oil and Gas,NO,NO,Canada,Canada
Convergys Corp.,CVG,Industrials,Business Support Services,YES,NO,United States,United States
Coventry Health Care Inc.,CVH,Health Care,Health Care Providers,YES,NO,United States,United States
CVR Energy Inc.,CVI,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Cenveo Inc.,CVO,Industrials,Business Support Services,NO,NO,United States,United States
CVS Caremark Corp.,CVS,Consumer Services,Drug Retailers,YES,NO,United States,United States
Chevron Corp.,CVX,Oil and Gas,Integrated Oil and Gas,YES,YES,United States,United States
Curtiss-Wright Corp.,CW,Industrials,Defense,NO,NO,United States,United States
CommonWealth REIT,CWH,Financials,undefined,NO,NO,United States,United States
California Water Service Group,CWT,Utilities,Water,NO,NO,United States,United States
Cemex S.A.B. de C.V.,CX,Industrials,Building Materials and Fixtures,NO,NO,Mexico,Latin America
Concho Resources Inc.,CXO,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Crexus Investment Corp.,CXS,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Corrections Corp. of America,CXW,Industrials,Business Support Services,NO,NO,United States,United States
China Yuchai International Ltd.,CYD,Industrials,Commerical Vehicles and Trucks,NO,NO,China,Asia-Pacific
Community Health Systems Inc.,CYH,Health Care,Health Care Providers,NO,NO,United States,United States
City National Corp.,CYN,Financials,Banks,NO,NO,United States,United States
Cypress Sharpridge Investments Inc.,CYS,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Cytec Industries Inc.,CYT,Basic Materials,Specialty Chemicals,NO,NO,United States,United States
Cosan  Cl A,CZZ,Consumer Goods,Food Products,NO,NO,Brazil,Latin America
Dominion Resources Inc. (Virginia),D,Utilities,Conventional Electricity,YES,NO,United States,United States
Danaos Corp.,DAC,Industrials,Marine Transportation,NO,NO,Greece,Europe
Delta Air Lines Inc.,DAL,Consumer Services,Airlines,NO,NO,United States,United States
Dana Holding Corp.,DAN,Consumer Goods,Auto Parts,NO,NO,United States,United States
E-Commerce China Dangdang Inc.,DANG,Consumer Services,undefined,NO,NO,China,Asia-Pacific
Darling International Inc.,DAR,Consumer Goods,Food Products,NO,NO,United States,United States
Deutsche Bank AG,DB,Financials,Banks,NO,NO,Germany,Europe
Diebold Inc.,DBD,Technology,Computer Hardware,NO,NO,United States,United States
Donaldson Co. Inc.,DCI,Industrials,Industrial Machinery,NO,NO,United States,United States
NTT DoCoMo Inc.,DCM,Telecommunications,Mobile Telecommunications,NO,NO,Japan,Asia-Pacific
Ducommun Inc.,DCO,Industrials,Aerospace,NO,NO,United States,United States
DCT Industrial Trust Inc.,DCT,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
E.I. DuPont de Nemours & Co.,DD,Basic Materials,Commodity Chemicals,NO,YES,United States,United States
3D Systems Corp.,DDD,Technology,undefined,NO,NO,United States,United States
Dover Downs Gaming & Entertainment Inc.,DDE,Consumer Services,Gambling,NO,NO,United States,United States
Digital Domain Media Group Inc.,DDMG,Consumer Services,undefined,NO,NO,United States,United States
Developers Diversified Realty Corp.,DDR,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States
Dillard's Inc.,DDS,Consumer Services,Apparel Retailers,NO,NO,United States,United States
Deere & Co.,DE,Industrials,Commerical Vehicles and Trucks,YES,NO,United States,United States
Delhaize Group,DEG,Consumer Services,Food Retailers and Wholesalers,NO,NO,Belgium,Europe
Douglas Emmett Inc.,DEI,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
Deltic Timber Corp.,DEL,Basic Materials,Forestry,NO,NO,United States,United States
Diageo PLC,DEO,Consumer Goods,Distillers and Vintners,NO,NO,United Kingdom,Europe
Dex One Corp.,DEXO,Consumer Services,Media,NO,NO,United States,United States
Dean Foods Co.,DF,Consumer Goods,Food Products,YES,NO,United States,United States
Delphi Financial Group Inc. Cl A,DFG,Financials,Life Insurance,NO,NO,United States,United States
Discover Financial Services,DFS,Financials,Consumer Finance,YES,NO,United States,United States
Dupont Fabros Technology Inc.,DFT,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
Dollar General Corp.,DG,Consumer Services,Broadline Retailers,NO,NO,United States,United States
DigitalGlobe Inc.,DGI,Industrials,Business Support Services,NO,NO,United States,United States
Duoyuan Global Water Inc.,DGW,Industrials,Industrial Machinery,NO,NO,China,Asia-Pacific
Quest Diagnostics Inc.,DGX,Health Care,Health Care Providers,YES,NO,United States,United States
D.R. Horton Inc.,DHI,Consumer Goods,Home Construction,NO,NO,United States,United States
Danaher Corp.,DHR,Industrials,Electronic Equipment,YES,NO,United States,United States
DHT Maritime Inc.,DHT,Industrials,Marine Transportation,NO,NO,United States,United States
Dice Holdings Inc.,DHX,Industrials,Business Training and Employment Agencies,NO,NO,United States,United States
DineEquity Inc.,DIN,Consumer Services,Restaurants and Bars,NO,NO,United States,United States
Walt Disney Co.,DIS,Consumer Services,Broadcasting and Entertainment,YES,YES,United States,United States
Delek US Holdings Inc.,DK,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Dick's Sporting Goods Inc.,DKS,Consumer Services,Specialty Retailers,NO,NO,United States,United States
China Distance Education Holdings Ltd.,DL,Consumer Services,Specialized Consumer Services,NO,NO,China,Asia-Pacific
Dolby Laboratories Inc. Cl A,DLB,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States
Delphi Automotive PLC,DLPH,Consumer Goods,undefined,NO,NO,United States,United States
Digital Realty Trust Inc.,DLR,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
Deluxe Corp.,DLX,Industrials,Financial Administration,NO,NO,United States,United States
Dolan Media Co.,DM,Consumer Services,Publishing,NO,NO,United States,United States
Demand Media Inc.,DMD,Consumer Services,undefined,NO,NO,United States,United States
Dun & Bradstreet Corp.,DNB,Consumer Services,Publishing,YES,NO,United States,United States
Denbury Resources Inc.,DNR,Oil and Gas,Exploration and Production,YES,NO,United States,United States
Diamond Offshore Drilling Inc.,DO,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States
Dole Food Co. Inc.,DOLE,Consumer Goods,Food Products,NO,NO,United States,United States
Dover Corp.,DOV,Industrials,Industrial Machinery,YES,NO,United States,United States
Dow Chemical Co.,DOW,Basic Materials,Commodity Chemicals,YES,NO,United States,United States
Amdocs Ltd.,DOX,Technology,Software,NO,NO,United States,United States
Dr Pepper Snapple Group Inc.,DPS,Consumer Goods,Soft Drinks,YES,NO,United States,United States
Domino's Pizza Inc.,DPZ,Consumer Services,Restaurants and Bars,NO,NO,United States,United States
Daqo New Energy Corp.,DQ,Basic Materials,undefined,NO,NO,China,Asia-Pacific
Dresser-Rand Group Inc.,DRC,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Duke Realty Corp.,DRE,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
Diamondrock Hospitality Co.,DRH,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States
Darden Restaurants Inc.,DRI,Consumer Services,Restaurants and Bars,YES,NO,United States,United States
Doral Financial Corp.,DRL,Financials,Banks,NO,NO,United States,United States
Dril-Quip Inc.,DRQ,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
DST Systems Inc.,DST,Technology,Computer Services,NO,NO,United States,United States
DSW Inc. Cl A,DSW,Consumer Services,Apparel Retailers,NO,NO,United States,United States
Diana Shipping Inc.,DSX,Industrials,Marine Transportation,NO,NO,United States,United States
DTE Energy Co.,DTE,Utilities,Conventional Electricity,YES,NO,United States,United States
Dollar Thrifty Automotive Group Inc.,DTG,Consumer Services,Travel and Tourism,NO,NO,United States,United States
Duff & Phelps Corp. Cl A,DUF,Financials,Investment Services,NO,NO,United States,United States
Duke Energy Corp.,DUK,Utilities,Multiutilities,YES,NO,United States,United States
DeVry Inc.,DV,Consumer Services,Specialized Consumer Services,YES,NO,United States,United States
DaVita Inc.,DVA,Health Care,Health Care Providers,YES,NO,United States,United States
Dover Motorsports Inc.,DVD,Consumer Services,Recreational Services,NO,NO,United States,United States
Devon Energy Corp.,DVN,Oil and Gas,Exploration and Production,YES,NO,United States,United States
Cal Dive International Inc.,DVR,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Drew Industries Inc.,DW,Consumer Goods,Recreational Products,NO,NO,United States,United States
Dynex Capital Inc.,DX,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Dycom Industries Inc.,DY,Technology,Telecommunications Equipment,NO,NO,United States,United States
Dynegy Inc. Cl A,DYN,Utilities,Conventional Electricity,YES,NO,United States,United States
ENI S.p.A.,E,Oil and Gas,Integrated Oil and Gas,NO,NO,Italy,Europe
Brinker International Inc.,EAT,Consumer Services,Restaurants and Bars,NO,NO,United States,United States
