Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
Gulfmark Offshore Inc.,GLF,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,GLF
Glatfelter,GLT,Basic Materials,Paper,NO,NO,United States,United States,GLT
Corning Inc.,GLW,Technology,Telecommunications Equipment,YES,NO,United States,United States,GLW
General Motors Co.,GM,Consumer Goods,undefined,NO,NO,United States,United States,729
GameStop Corp. Cl A,GME,Consumer Services,Specialty Retailers,YES,NO,United States,United States,GME
Gruma S.A.B. de C.V.,GMK,Consumer Goods,Food Products,NO,NO,Mexico,Latin America,GMK
GATX Corp.,GMT,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,GMT
GMX Resources Inc.,GMXR,Oil and Gas,Oil and Gas,NO,NO,United States,United States,GMXR
GNC Holdings Inc. Cl A,GNC,Consumer Services,undefined,NO,NO,United States,United States,734
Genie Energy Ltd. Cl B,GNE,Utilities,undefined,NO,NO,United States,United States,735
Genco Shipping & Trading Ltd.,GNK,Industrials,Marine Transportation,NO,NO,United States,United States,GNK
Generac Holdings Inc.,GNRC,Industrials,undefined,NO,NO,United States,United States,737
Genworth Financial Inc. Cl A,GNW,Financials,Life Insurance,YES,NO,United States,United States,GNW
Government Properties Income Trust,GOV,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States,GOV
Genuine Parts Co.,GPC,Consumer Goods,Auto Parts,YES,NO,United States,United States,GPC
Group 1 Automotive Inc.,GPI,Consumer Services,Specialty Retailers,NO,NO,United States,United States,GPI
Graphic Packaging Holding Co.,GPK,Industrials,Containers and Packaging,NO,NO,United States,United States,GPK
Global Payments Inc.,GPN,Industrials,Financial Administration,NO,NO,United States,United States,GPN
Gap Inc.,GPS,Consumer Services,Apparel Retailers,YES,NO,United States,United States,GPS
GP Strategies Corp.,GPX,Industrials,Business Support Services,NO,NO,United States,United States,GPX
Goodrich Corp.,GR,Industrials,Aerospace,YES,NO,United States,United States,GR
W.R. Grace & Co.,GRA,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,GRA
AGRIA Corp.,GRO,Consumer Goods,Farming and Fishing,NO,NO,China,Asia-Pacific,GRO
Glimcher Realty Trust,GRT,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,GRT
Goldman Sachs Group Inc.,GS,Financials,Investment Services,YES,NO,United States,United States,GS
Guangshen Railway Co. Ltd.,GSH,Consumer Services,Travel and Tourism,NO,NO,China,Asia-Pacific,GSH
General Steel Holdings Inc.,GSI,Basic Materials,Iron and Steel,NO,NO,China,Asia-Pacific,GSI
GlaxoSmithKline PLC,GSK,Health Care,Pharmaceuticals,NO,NO,United Kingdom,Europe,GSK
Global Ship Lease Inc. Cl A,GSL,Industrials,Transportation Services,NO,NO,United States,United States,GSL
Goodyear Tire & Rubber Co.,GT,Consumer Goods,Tires,YES,NO,United States,United States,GT
GrafTech International Ltd.,GTI,Industrials,Electrical Components and Equipment,NO,NO,United States,United States,GTI
Gray Television Inc.,GTN,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States,GTN
Gray Television Inc. Cl A,GTN-A,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States,GTN-A
Triple-S Management Corp. Cl B,GTS,Health Care,Health Care Providers,NO,NO,United States,United States,GTS
Getty Realty Corp.,GTY,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,GTY
Gushan Environmental Energy Ltd.,GU,Oil and Gas,Alternative Fuels,NO,NO,China,Asia-Pacific,GU
Granite Construction Inc.,GVA,Industrials,Heavy Construction,NO,NO,United States,United States,GVA
Genesee & Wyoming Inc. Cl A,GWR,Industrials,Railroads,NO,NO,United States,United States,GWR
W.W. Grainger Inc.,GWW,Industrials,Industrial Suppliers,NO,NO,United States,United States,GWW
Great Plains Energy Inc.,GXP,Utilities,Conventional Electricity,NO,NO,United States,United States,GXP
GenCorp Inc.,GY,Industrials,Defense,NO,NO,United States,United States,GY
Gazit-Globe Ltd.,GZT,Financials,undefined,NO,NO,Israel,MidEast-Africa,767
Hyatt Hotels Corp.,H,Consumer Services,Hotels,NO,NO,United States,United States,H
Haemonetics Corp.,HAE,Health Care,Medical Supplies,NO,NO,United States,United States,HAE
Halliburton Co.,HAL,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States,HAL
Harman International Industries Inc.,HAR,Consumer Goods,Consumer Electronics,YES,NO,United States,United States,HAR
HSBC Holdings PLC,HBC,Financials,Banks,NO,NO,United Kingdom,Europe,HBC
Hanesbrands Inc.,HBI,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States,HBI
HudBay Minerals Inc.,HBM,Basic Materials,undefined,NO,NO,Canada,Canada,774
HCA Holdings Inc.,HCA,Health Care,undefined,NO,NO,United States,United States,775
HCC Insurance Holdings Inc.,HCC,Financials,Property and Casualty Insurance,NO,NO,United States,United States,HCC
Health Care REIT Inc.,HCN,Financials,Specialty Real Estate Investment Trusts,YES,NO,United States,United States,HCN
HCP Inc.,HCP,Financials,Specialty Real Estate Investment Trusts,YES,NO,United States,United States,HCP
Home Depot Inc.,HD,Consumer Services,Home Improvement Retailers,YES,YES,United States,United States,HD
HDFC Bank Ltd.,HDB,Financials,Banks,NO,NO,India,Asia-Pacific,HDB
Hyperdynamics Corp.,HDY,Oil and Gas,undefined,NO,NO,United States,United States,781
Hawaiian Electric Industries Inc.,HE,Utilities,Conventional Electricity,NO,NO,United States,United States,HE
Heico Corp.,HEI,Industrials,Aerospace,NO,NO,United States,United States,HEI
Heico Corp. Cl A,HEI-A,Industrials,Aerospace,NO,NO,United States,United States,HEI-A
Hess Corp.,HES,Oil and Gas,Integrated Oil and Gas,YES,NO,United States,United States,HES
HFF Inc. Cl A,HF,Financials,Real Estate Services,NO,NO,United States,United States,HF
HollyFrontier Corp.,HFC,Oil and Gas,undefined,NO,NO,United States,United States,787
HHGregg Inc.,HGG,Consumer Goods,Durable Household Products,NO,NO,United States,United States,HGG
Hanger Orthopedic Group Inc.,HGR,Health Care,Health Care Providers,NO,NO,United States,United States,HGR
Howard Hughes Corp.,HHC,Financials,undefined,NO,NO,United States,United States,790
Harte-Hanks Inc.,HHS,Consumer Services,Media Agencies,NO,NO,United States,United States,HHS
Hillenbrand Inc.,HI,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States,HI
Hartford Financial Services Group Inc.,HIG,Financials,Full Line Insurance,YES,NO,United States,United States,HIG
Huntington Ingalls Industries Inc.,HII,Industrials,undefined,NO,NO,United States,United States,794
Hill International Inc.,HIL,Industrials,Heavy Construction,NO,NO,United States,United States,HIL
Hitachi Ltd.,HIT,Industrials,Electronic Equipment,NO,NO,Japan,Asia-Pacific,HIT
Highwoods Properties Inc.,HIW,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,HIW
Hecla Mining Co.,HL,Basic Materials,Platinum and Precious Metals,NO,NO,United States,United States,HL
Herbalife Ltd.,HLF,Consumer Goods,Food Products,NO,NO,United States,United States,HLF
HealthSouth Corp.,HLS,Health Care,Health Care Providers,NO,NO,United States,United States,HLS
Helix Energy Solutions Group Inc.,HLX,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,HLX
Health Management Associates Inc. Cl A,HMA,Health Care,Health Care Providers,NO,NO,United States,United States,HMA
Honda Motor Co. Ltd.,HMC,Consumer Goods,Automobiles,NO,NO,Japan,Asia-Pacific,HMC
Home Properties Inc.,HME,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States,HME
Horace Mann Educators Corp.,HMN,Financials,Property and Casualty Insurance,NO,NO,United States,United States,HMN
Harmony Gold Mining Co. Ltd.,HMY,Basic Materials,Gold Mining,NO,NO,South Africa,MidEast-Africa,HMY
HNI Corp.,HNI,Consumer Goods,Furnishings,NO,NO,United States,United States,HNI
Huaneng Power International Inc.,HNP,Utilities,Conventional Electricity,NO,NO,China,Asia-Pacific,HNP
Harvest Natural Resources Inc.,HNR,Oil and Gas,Exploration and Production,NO,NO,United States,United States,HNR
Health Net Inc.,HNT,Health Care,Health Care Providers,NO,NO,United States,United States,HNT
H.J. Heinz Co.,HNZ,Consumer Goods,Food Products,NO,NO,United States,United States,HNZ
Harley-Davidson Inc.,HOG,Consumer Goods,Automobiles,YES,NO,United States,United States,HOG
Honeywell International Inc.,HON,Industrials,Diversified Industrials,YES,NO,United States,United States,HON
Hornbeck Offshore Services Inc.,HOS,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,HOS
Starwood Hotels & Resorts Worldwide Inc.,HOT,Consumer Services,Hotels,YES,NO,United States,United States,HOT
Hovnanian Enterprises Inc. Cl A,HOV,Consumer Goods,Home Construction,NO,NO,United States,United States,HOV
Helmerich & Payne Inc.,HP,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,HP
Hudson Pacific Properties Inc.,HPP,Financials,undefined,NO,NO,United States,United States,818
Hewlett-Packard Co.,HPQ,Technology,Computer Hardware,YES,YES,United States,United States,HPQ
Hospitality Properties Trust,HPT,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States,HPT
Heartland Payment Systems Inc.,HPY,Industrials,Financial Administration,NO,NO,United States,United States,HPY
Healthcare Realty Trust Inc.,HR,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States,HR
H&R Block Inc.,HRB,Consumer Services,Specialized Consumer Services,YES,NO,United States,United States,HRB
Hill-Rom Holdings Inc.,HRC,Health Care,Medical Equipment,NO,NO,United States,United States,HRC
Harbinger Group Inc.,HRG,Financials,Diversified Investments,NO,NO,United States,United States,HRG
Hormel Foods Corp.,HRL,Consumer Goods,Food Products,YES,NO,United States,United States,HRL
Harris Corp.,HRS,Technology,Telecommunications Equipment,YES,NO,United States,United States,HRS
HealthSpring Inc.,HS,Health Care,Health Care Providers,NO,NO,United States,United States,HS
Harsco Corp.,HSC,Industrials,Diversified Industrials,NO,NO,United States,United States,HSC
Hospira Inc.,HSP,Health Care,Pharmaceuticals,NO,NO,United States,United States,HSP
Host Hotels & Resorts Inc.,HST,Financials,Hotel and Lodging Real Estate Investment Trusts,YES,NO,United States,United States,HST
Hershey Co.,HSY,Consumer Goods,Food Products,YES,NO,United States,United States,HSY
Hersha Hospitality Trust Cl A,HT,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States,HT
Hilltop Holdings Inc.,HTH,Financials,Real Estate Holding and Development,NO,NO,United States,United States,HTH
Hatteras Financial Corp.,HTS,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,HTS
Hertz Global Hldgs Inc.,HTZ,Consumer Services,Travel and Tourism,NO,NO,United States,United States,HTZ
Hubbell Inc. Cl A,HUB-A,Industrials,Electrical Components and Equipment,NO,NO,United States,United States,HUB-A
Hubbell Inc. Cl B,HUB-B,Industrials,Electrical Components and Equipment,NO,NO,United States,United States,HUB-B
Humana Inc.,HUM,Health Care,Health Care Providers,YES,NO,United States,United States,HUM
Huntsman Corp.,HUN,Basic Materials,Commodity Chemicals,NO,NO,United States,United States,HUN
Hudson Valley Holding Corp.,HVB,Financials,undefined,NO,NO,United States,United States,841
Haverty Furniture Cos. Inc.,HVT,Consumer Services,Home Improvement Retailers,NO,NO,United States,United States,HVT
Haverty Furniture Cos. Inc. Cl A,HVT-A,Consumer Services,Home Improvement Retailers,NO,NO,United States,United States,HVT-A
Headwaters Inc.,HW,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,HW
Harry Winston Diamond Corp.,HWD,Basic Materials,Diamonds and Gemstones,NO,NO,Canada,Canada,HWD
Hexcel Corp.,HXL,Industrials,Aerospace,NO,NO,United States,United States,HXL
Desarrolladora Homex S.A.B. de C.V.,HXM,Consumer Goods,Home Construction,NO,NO,Mexico,Latin America,HXM
MarineMax Inc.,HZO,Consumer Services,Specialty Retailers,NO,NO,United States,United States,HZO
IAMGOLD Corp.,IAG,Basic Materials,Gold Mining,NO,NO,Canada,Canada,IAG
Industrias Bachoco S.A.B. de C.V.,IBA,Consumer Goods,Food Products,NO,NO,Mexico,Latin America,IBA
Interline Brands Inc.,IBI,Industrials,Industrial Suppliers,NO,NO,United States,United States,IBI
International Business Machines Corp.,IBM,Technology,Computer Services,YES,YES,United States,United States,IBM
ICICI Bank Ltd.,IBN,Financials,Banks,NO,NO,India,Asia-Pacific,IBN
Empresas ICA S.A. de C.V.,ICA,Industrials,Heavy Construction,NO,NO,Mexico,Latin America,ICA
IntercontinentalExchange Inc.,ICE,Financials,Investment Services,YES,NO,United States,United States,ICE
IDACORP Inc.,IDA,Utilities,Conventional Electricity,NO,NO,United States,United States,IDA
IDT Corp. Cl B,IDT,Telecommunications,Fixed Line Telecommunications,NO,NO,United States,United States,IDT
IDEX Corp.,IEX,Industrials,Industrial Machinery,NO,NO,United States,United States,IEX
International Flavors & Fragrances Inc.,IFF,Basic Materials,Specialty Chemicals,YES,NO,United States,United States,IFF
Imperial Holdings Inc.,IFT,Financials,undefined,NO,NO,United States,United States,860
International Game Technology,IGT,Consumer Services,Gambling,YES,NO,United States,United States,IGT
Independence Holding Co.,IHC,Financials,Life Insurance,NO,NO,United States,United States,IHC
InterContinental Hotels Group PLC,IHG,Consumer Services,Hotels,NO,NO,United Kingdom,Europe,IHG
IHS Inc. Cl A,IHS,Consumer Services,Publishing,NO,NO,United States,United States,IHS
Indosat,IIT,Telecommunications,Mobile Telecommunications,NO,NO,Indonesia,Asia-Pacific,IIT
IntraLinks Holdings Inc.,IL,Technology,undefined,NO,NO,United States,United States,866
Ingram Micro Inc. Cl A,IM,Technology,Computer Hardware,NO,NO,United States,United States,IM
Imax Corp.,IMAX,Consumer Services,undefined,NO,NO,Canada,Canada,868
Imation Corp.,IMN,Technology,Computer Hardware,NO,NO,United States,United States,IMN
Imperva Inc.,IMPV,Industrials,undefined,NO,NO,United States,United States,870
Intermec Inc.,IN,Technology,Computer Hardware,NO,NO,United States,United States,IN
ING Groep N.V.,ING,Financials,Life Insurance,NO,NO,Netherlands,Europe,ING
Summit Hotel Properties Inc.,INN,Financials,undefined,NO,NO,United States,United States,873
World Fuel Services Corp.,INT,Industrials,Transportation Services,NO,NO,United States,United States,INT
InvenSense Inc.,INVN,Technology,undefined,NO,NO,United States,United States,875
InterXion Holding N.V.,INXN,Technology,undefined,NO,NO,United States,United States,876
ION Geophysical Corp.,IO,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,IO
International Paper Co.,IP,Basic Materials,Paper,YES,NO,United States,United States,IP
Interpublic Group of Cos.,IPG,Consumer Services,Media Agencies,YES,NO,United States,United States,IPG
Inphi Corp.,IPHI,Technology,undefined,NO,NO,United States,United States,880
Intrepid Potash Inc.,IPI,Basic Materials,Nonferrous Metals,NO,NO,United States,United States,IPI
Ingersoll-Rand Co. Ltd.,IR,Industrials,Industrial Machinery,NO,NO,United States,United States,IR
Inland Real Estate Corp.,IRC,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,IRC
Governor & Co. of the Bank of Ireland,IRE,Financials,Banks,NO,NO,Ireland,Europe,IRE
International Rectifier Corp.,IRF,Technology,Semiconductors,NO,NO,United States,United States,IRF
Iron Mountain Inc.,IRM,Industrials,Business Support Services,YES,NO,United States,United States,IRM
IRSA-Inversiones y Representaciones S.A. GDS,IRS,Financials,Real Estate Holding and Development,NO,NO,Argentina,Latin America,IRS
International Shipholding Corp.,ISH,Industrials,Marine Transportation,NO,NO,United States,United States,ISH
iSoftStone Holdings Ltd.,ISS,Technology,undefined,NO,NO,China,Asia-Pacific,889
Gartner Inc.,IT,Technology,Computer Services,NO,NO,United States,United States,IT
ITC Holdings Corp.,ITC,Utilities,Conventional Electricity,NO,NO,United States,United States,ITC
Investment Technology Group Inc.,ITG,Financials,Investment Services,NO,NO,United States,United States,ITG
ITT Corp.,ITT,Industrials,Diversified Industrials,YES,NO,United States,United States,ITT
Illinois Tool Works Inc.,ITW,Industrials,Industrial Machinery,YES,NO,United States,United States,ITW
Invacare Corp.,IVC,Health Care,Medical Equipment,NO,NO,United States,United States,IVC
Ivanhoe Mines Ltd.,IVN,Basic Materials,Nonferrous Metals,NO,NO,Canada,Canada,IVN
Invesco Mortgage Capital Inc.,IVR,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,IVR
INVESCO Ltd.,IVZ,Financials,Asset Managers,YES,NO,United States,United States,IVZ
Orix Corp.,IX,Financials,Specialty Finance,NO,NO,Japan,Asia-Pacific,IX
Jaguar Mining Inc.,JAG,Basic Materials,Gold Mining,NO,NO,Canada,Canada,JAG
Jarden Corp.,JAH,Consumer Goods,Durable Household Products,NO,NO,United States,United States,JAH
Jabil Circuit Inc.,JBL,Industrials,Electrical Components and Equipment,YES,NO,United States,United States,JBL
John Bean Technologies Corp.,JBT,Industrials,Industrial Machinery,NO,NO,United States,United States,JBT
Johnson Controls Inc.,JCI,Consumer Goods,Auto Parts,YES,NO,United States,United States,JCI
J.C. Penney Co. Inc.,JCP,Consumer Services,Broadline Retailers,NO,NO,United States,United States,JCP
Jacobs Engineering Group Inc.,JEC,Industrials,Heavy Construction,YES,NO,United States,United States,JEC
Jefferies Group Inc.,JEF,Financials,Investment Services,NO,NO,United States,United States,JEF
JinkoSolar Holding Co. Ltd.,JKS,Oil and Gas,undefined,NO,NO,China,Asia-Pacific,908
Jones Lang LaSalle Inc.,JLL,Financials,Real Estate Services,NO,NO,United States,United States,JLL
JMP Group Corp.,JMP,Financials,Investment Services,NO,NO,United States,United States,JMP
Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,YES,YES,United States,United States,JNJ
Juniper Networks Inc.,JNPR,Technology,Telecommunications Equipment,YES,NO,United States,United States,JNPR
Janus Capital Group Inc.,JNS,Financials,Asset Managers,YES,NO,United States,United States,JNS
Jones Apparel Group Inc.,JNY,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States,JNY
St. Joe Co.,JOE,Financials,Real Estate Holding and Development,NO,NO,United States,United States,JOE
Joy Global Inc.,JOY,Industrials,undefined,NO,NO,United States,United States,916
JPMorgan Chase & Co.,JPM,Financials,Banks,YES,YES,United States,United States,JPM
Journal Communications Inc. Cl A,JRN,Consumer Services,Publishing,NO,NO,United States,United States,JRN
John Wiley & Sons Inc. Cl A,JW-A,Consumer Services,Publishing,NO,NO,United States,United States,JW-A
John Wiley & Sons Inc. Cl B,JW-B,Consumer Services,Publishing,NO,NO,United States,United States,JW-B
Nordstrom Inc.,JWN,Consumer Services,Apparel Retailers,YES,NO,United States,United States,JWN
Kellogg Co.,K,Consumer Goods,Food Products,YES,NO,United States,United States,K
Kadant Inc.,KAI,Industrials,Industrial Machinery,NO,NO,United States,United States,KAI
KAR Auction Services Inc.,KAR,Consumer Services,Retail,NO,NO,United States,United States,KAR
KB Financial Group Inc.,KB,Financials,Banks,NO,NO,South Korea,Asia-Pacific,KB
KB Home,KBH,Consumer Goods,Home Construction,YES,NO,United States,United States,KBH
KBR Inc.,KBR,Industrials,Heavy Construction,NO,NO,United States,United States,KBR
KBW Inc.,KBW,Financials,Investment Services,NO,NO,United States,United States,KBW
Knight Capital Group Inc. Cl A,KCG,Financials,undefined,NO,NO,United States,United States,929
Kenneth Cole Productions Inc. Cl A,KCP,Consumer Goods,Footwear,NO,NO,United States,United States,KCP
Kaydon Corp.,KDN,Industrials,Industrial Machinery,NO,NO,United States,United States,KDN
Key Energy Services Inc.,KEG,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,KEG
Kemet Corp.,KEM,Industrials,undefined,NO,NO,United States,United States,933
Korea Electric Power Corp.,KEP,Utilities,Conventional Electricity,NO,NO,South Korea,Asia-Pacific,KEP
Kirby Corp.,KEX,Industrials,Marine Transportation,NO,NO,United States,United States,KEX
KeyCorp,KEY,Financials,Banks,YES,NO,United States,United States,KEY
Kingsway Financial Services Inc.,KFS,Financials,Property and Casualty Insurance,NO,NO,Canada,Canada,KFS
Kraft Foods Inc. Cl A,KFT,Consumer Goods,Food Products,YES,YES,United States,United States,KFT
Korn-Ferry International,KFY,Industrials,Business Training and Employment Agencies,NO,NO,United States,United States,KFY
Kinross Gold Corp.,KGC,Basic Materials,Gold Mining,NO,NO,Canada,Canada,KGC
China Kanghui Holdings,KH,Health Care,undefined,NO,NO,China,Asia-Pacific,941
Kid Brands Inc.,KID,Consumer Goods,Durable Household Products,NO,NO,United States,United States,KID
Kimco Realty Corp.,KIM,Financials,Retail Real Estate Investment Trusts,YES,NO,United States,United States,KIM
Krispy Kreme Doughnuts Inc.,KKD,Consumer Services,Restaurants and Bars,NO,NO,United States,United States,KKD
Kimberly-Clark Corp.,KMB,Consumer Goods,Personal Products,YES,NO,United States,United States,KMB
Kinder Morgan Inc.,KMI,Oil and Gas,undefined,NO,NO,United States,United States,946
Kemper Corp.,KMPR,Financials,undefined,NO,NO,United States,United States,947
Kennametal Inc.,KMT,Industrials,Industrial Machinery,NO,NO,United States,United States,KMT
CarMax Inc.,KMX,Consumer Services,Specialty Retailers,NO,NO,United States,United States,KMX
Kindred Healthcare Inc.,KND,Health Care,Health Care Providers,NO,NO,United States,United States,KND
Knoll Inc.,KNL,Consumer Goods,Furnishings,NO,NO,United States,United States,KNL
Konami Corp.,KNM,Consumer Goods,Toys,NO,NO,Japan,Asia-Pacific,KNM
Knight Transportation Inc.,KNX,Industrials,Trucking,NO,NO,United States,United States,KNX
Kenexa Corp.,KNXA,Technology,undefined,NO,NO,United States,United States,954
Coca-Cola Co.,KO,Consumer Goods,Soft Drinks,YES,YES,United States,United States,KO
Coca-Cola Femsa S.A.B. de C.V.,KOF,Consumer Goods,Soft Drinks,NO,NO,Mexico,Latin America,KOF
Kodiak Oil & Gas Corp.,KOG,Oil and Gas,undefined,NO,NO,United States,United States,957
Koppers Holdings Inc.,KOP,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,KOP
Michael Kors Holdings Ltd.,KORS,Consumer Goods,undefined,NO,NO,Hong Kong,Asia-Pacific,959
Kosmos Energy Ltd.,KOS,Oil and Gas,undefined,NO,NO,United States,United States,960
Kroger Co.,KR,Consumer Services,Food Retailers and Wholesalers,YES,NO,United States,United States,KR
Kraton Performance Polymers Inc.,KRA,Basic Materials,Chemicals,NO,NO,United States,United States,KRA
Kilroy Realty Corp.,KRC,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,KRC
Kite Realty Group Trust,KRG,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,KRG
Kronos Worldwide Inc.,KRO,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,KRO
KapStone Paper and Packaging Corporation,KS,Basic Materials,Paper,NO,NO,United States,United States,KS
Kohl's Corp.,KSS,Consumer Services,Apparel Retailers,YES,NO,United States,United States,KSS
Kansas City Southern,KSU,Industrials,Railroads,NO,NO,United States,United States,KSU
KT Corporation,KT,Telecommunications,Fixed Line Telecommunications,NO,NO,South Korea,Asia-Pacific,KT
Kubota Corp.,KUB,Industrials,Commerical Vehicles and Trucks,NO,NO,Japan,Asia-Pacific,KUB
K-V Pharmaceutical Co. Cl A,KV-A,Health Care,Pharmaceuticals,NO,NO,United States,United States,KV-A
K-V Pharmaceutical Co. Cl B,KV-B,Health Care,Pharmaceuticals,NO,NO,United States,United States,KV-B
Kennedy-Wilson Holdings Inc.,KW,Financials,undefined,NO,NO,United States,United States,973
Quicksilver Resources Inc.,KWK,Oil and Gas,Exploration and Production,NO,NO,United States,United States,KWK
Quaker Chemical Corp.,KWR,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,KWR
Kyocera Corp.,KYO,Industrials,Electronic Equipment,NO,NO,Japan,Asia-Pacific,KYO
Loews Corp.,L,Financials,Property and Casualty Insurance,YES,NO,United States,United States,L
Lithia Motors Inc. Cl A,LAD,Consumer Services,Specialty Retailers,NO,NO,United States,United States,LAD
Lentuo International Inc.,LAS,Consumer Services,undefined,NO,NO,China,Asia-Pacific,979
Lazard Ltd.,LAZ,Financials,Investment Services,NO,NO,United States,United States,LAZ
US Airways Group Inc.,LCC,Consumer Services,Airlines,NO,NO,United States,United States,LCC
LDK Solar Co. Ltd.,LDK,Oil and Gas,Renewable Energy Equipment,NO,NO,China,Asia-Pacific,LDK
Lydall Inc.,LDL,Industrials,Industrial Machinery,NO,NO,United States,United States,LDL
Landauer Inc.,LDR,Industrials,Electronic Equipment,NO,NO,United States,United States,LDR
Lear Corp.,LEA,Consumer Goods,Auto Parts,NO,NO,United States,United States,LEA
Leggett & Platt Inc.,LEG,Consumer Goods,Furnishings,YES,NO,United States,United States,LEG
Lennar Corp. Cl A,LEN,Consumer Goods,Home Construction,YES,NO,United States,United States,LEN
Lennar Corp. Cl B,LEN-B,Consumer Goods,Home Construction,NO,NO,United States,United States,LEN-B
LeapFrog Enterprises Inc. Cl A,LF,Consumer Goods,Toys,NO,NO,United States,United States,LF
China Life Insurance Co. Ltd.,LFC,Financials,Life Insurance,NO,NO,China,Asia-Pacific,LFC
LAN Airlines S.A.,LFL,Consumer Services,Airlines,NO,NO,Chile,Latin America,LFL
Laclede Group Inc.,LG,Utilities,Gas Distribution,NO,NO,United States,United States,LG
Lions Gate Entertainment Corp.,LGF,Consumer Services,Broadcasting and Entertainment,NO,NO,Canada,Canada,LGF
Laboratory Corp. of America Holdings,LH,Health Care,Health Care Providers,YES,NO,United States,United States,LH
LaSalle Hotel Properties,LHO,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States,LHO
Lennox International Inc.,LII,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,LII
Liz Claiborne Inc.,LIZ,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States,LIZ
Lumber Liquidators Inc.,LL,Consumer Services,Home Improvement Retailers,NO,NO,United States,United States,LL
L-3 Communications Holdings Inc.,LLL,Industrials,Defense,YES,NO,United States,United States,LLL
Eli Lilly & Co.,LLY,Health Care,Pharmaceuticals,NO,NO,United States,United States,LLY
Legg Mason Inc.,LM,Financials,Investment Services,YES,NO,United States,United States,LM
Lockheed Martin Corp.,LMT,Industrials,Defense,YES,NO,United States,United States,LMT
Lincoln National Corp.,LNC,Financials,Life Insurance,YES,NO,United States,United States,LNC
LinkedIn Corp. Cl A,LNKD,Industrials,undefined,NO,NO,United States,United States,1004
Lindsay Corp.,LNN,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,LNN
Alliant Energy Corp.,LNT,Utilities,Conventional Electricity,NO,NO,United States,United States,LNT
Lorillard Inc.,LO,Consumer Goods,Tobacco,YES,NO,United States,United States,LO
Lowe's Cos.,LOW,Consumer Services,Home Improvement Retailers,YES,NO,United States,United States,LOW
Laredo Petroleum Holdings Inc.,LPI,Oil and Gas,undefined,NO,NO,United States,United States,1009
LG Display Co. Ltd.,LPL,Technology,Computer Hardware,NO,NO,South Korea,Asia-Pacific,LPL
Lone Pine Resources Inc.,LPR,Oil and Gas,undefined,NO,NO,United States,United States,1011
Lender Processing Services Inc.,LPS,Industrials,Financial Administration,NO,NO,United States,United States,LPS
Louisiana-Pacific Corp.,LPX,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,LPX
K12 Inc.,LRN,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States,LRN
Liberty Property Trust,LRY,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,LRY
CapLease Inc.,LSE,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,LSE
LSI Corp.,LSI,Technology,Semiconductors,YES,NO,United States,United States,LSI
LTC Properties Inc.,LTC,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States,LTC
Limited Brands Inc.,LTD,Consumer Services,Apparel Retailers,YES,NO,United States,United States,LTD
Life Time Fitness Inc.,LTM,Consumer Services,Recreational Services,NO,NO,United States,United States,LTM
